City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,tabuk,17.4189,121.4443,29.19,55,45,2.05,PH,1678861992
109,cidreira,-30.1811,-50.2056,24.54,88,77,8.53,BR,1678862142
110,vigrestad,58.5667,5.7,1.99,70,26,4.5,NO,1678862231
111,port-cartier,50.0334,-66.8654,-0.88,79,100,6.72,CA,1678862232
112,turayf,31.6725,38.6637,9.14,93,75,8.23,SA,1678862233
113,norman wells,65.282,-126.8329,-23.98,70,75,1.03,CA,1678862067
114,hobart,-42.8794,147.3294,21.92,61,75,3.09,AU,1678861618
115,charagua,-19.8,-63.2167,19.54,97,97,1.35,BO,1678862235
116,arraial do cabo,-22.9661,-42.0278,23.85,86,91,2.32,BR,1678862235
117,punta arenas,-53.15,-70.9167,4.06,70,20,3.6,CL,1678861948
118,codrington,-38.2667,141.9667,19.55,59,93,4.09,AU,1678862095
119,kyshtovka,56.555,76.6271,-1.13,87,100,4.56,RU,1678862237
120,sidvokodvo,-26.6282,31.4202,22.77,88,20,1.54,SZ,1678862238
121,ondjiva,-17.0667,15.7333,22.98,40,92,1.55,AO,1678862239
122,berlevag,70.8578,29.0864,-1.03,69,75,8.23,NO,1678862030
123,leh,34.1667,77.5833,-3.26,52,5,0.97,IN,1678862241
124,ponta delgada,37.7333,-25.6667,15.4,94,40,7.2,PT,1678862241
125,longyearbyen,78.2186,15.6401,-21.09,71,20,6.17,SJ,1678862014
126,hella,67.2,14.4333,-3.92,86,0,3.09,NO,1678862243
127,flin flon,54.7682,-101.865,-11.5,95,100,3.96,CA,1678862243
128,anadyr,64.75,177.4833,-16.72,70,0,5.0,RU,1678862244
129,new norfolk,-42.7826,147.0587,21.72,40,100,1.79,AU,1678862041
130,alyangula,-13.8483,136.4192,29.04,67,100,1.38,AU,1678862246
131,natal,-5.795,-35.2094,25.36,94,40,3.6,BR,1678862246
132,east london,-33.0153,27.9116,25.41,72,99,3.91,ZA,1678861989
133,woodward,36.4337,-99.3904,7.57,69,0,8.23,US,1678862248
134,sisimiut,66.9395,-53.6735,-7.42,88,100,4.87,GL,1678862248
135,menemen,38.6075,27.0694,8.9,79,0,5.66,TR,1678862250
136,olafsvik,64.8945,-23.7142,-5.89,64,100,9.76,IS,1678861980
137,san patricio,28.017,-97.5169,19.92,68,100,4.95,US,1678862251
138,kidodi,-7.6036,37.0044,27.93,66,100,1.37,TZ,1678862252
139,quatre cocos,-20.2078,57.7625,28.06,65,66,7.25,MU,1678862253
140,araouane,18.9048,-3.5265,23.9,12,1,4.89,ML,1678862254
141,fortuna,40.5982,-124.1573,8.14,90,100,0.0,US,1678862255
142,talnakh,69.4865,88.3972,-6.55,86,88,6.46,RU,1678862256
143,sioux lookout,50.1001,-91.917,-1.96,46,100,7.2,CA,1678862256
144,gamboula,4.1178,15.1393,24.52,73,100,1.52,CF,1678862257
145,lodja,-3.4833,23.4333,21.08,95,100,0.55,CD,1678862258
146,emerald,-23.5333,148.1667,33.52,51,41,5.04,AU,1678862259
147,manggar,-2.8833,108.2667,27.93,73,82,2.78,ID,1678862260
148,tiksi,71.6872,128.8694,-19.87,99,44,2.64,RU,1678862060
